HST	2024-11-16 15:49:08Z	5166.186	4544.970	2.674	-4.418	5.022	3.631	0
VANGUARD1	2024-11-16 16:06:34Z	3402.237	-5757.339	204.534	5.125	4.984	4.666	0
HST	2024-11-16 15:49:08Z	5166.186	4544.970	2.674	-4.418	5.022	3.631	0
VANGUARD1	2024-11-16 16:06:34Z	3402.237	-5757.339	204.534	5.125	4.984	4.666	0
HST	2024-11-16 15:49:08Z	5166.186	4544.970	2.674	-4.418	5.022	3.631	0
VANGUARD1	2024-11-16 16:06:34Z	3402.237	-5757.339	204.534	5.125	4.984	4.666	0
